symbol,timeframe,timestamp,formatted_date,open,high,low,close,volume_units,volume_usd,price_change_24h_pct,price_change_7d_pct,price_change_14d_pct,price_change_30d_pct,volatility_7d,volatility_14d,volatility_30d,intraday_range_pct,volume_change_24h_pct,volume_change_7d_pct,volume_change_14d_pct,volume_change_30d_pct,volume_vs_30d_avg_pct,rsi,macd_line,macd_signal,macd_histogram,ema_20,ema_50,ema_100,ema_200,gap_ema_20_pct,gap_ema_50_pct,gap_ema_100_pct,gap_ema_200_pct,bb_mid,bb_upper,bb_lower,band_width_pct,gap_bb_mid_pct,gap_bb_upper_pct,gap_bb_lower_pct
NASDAQ:CELC,1D,1505914200,2017-09-20,12.35,14.95,11.1,14.29,1207940.0,17261462.599999998,,,,,,,,31.17408906882591,,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506000600,2017-09-21,15.03,15.554,13.06,13.41,204192.0,2738214.72,-6.158152554233723,,,,,,,16.59347970725216,-84.13683253005453,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506087000,2017-09-22,13.07,14.0099,13.07,13.63,48941.0,667065.8300000001,1.640566741237887,,,,,,,7.191277735271612,-75.63865882658027,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506346200,2017-09-25,13.82,14.53,13.65,13.92,135544.0,1886772.48,2.127659574468079,,,,,,,6.367583212735159,182.84651906094481,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506432600,2017-09-26,13.62,14.55,13.6,13.98,28162.0,393704.76,0.4310344827586242,,,,,,,6.975036710719539,-79.1334268348031,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506519000,2017-09-27,13.96,14.37,12.66,13.0,96150.0,1249950.0,-7.010014306151648,,,,,,,12.249283667621768,217.4840964584731,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506605400,2017-09-28,13.08,13.49,11.14,11.94,133228.0,1590742.3199999998,-8.153846153846157,,,,4.322186211278087,,,17.96636085626911,27.264476179047147,,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506691800,2017-09-29,11.9,12.48,11.8046,12.24,58031.0,710299.4400000001,2.5125628140703578,-14.345696291112658,,,4.420270836995292,,,5.675630252100838,-55.347925866459626,-95.88505646097451,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1506951000,2017-10-02,12.25,12.55,11.6767,12.12,61496.0,745331.5199999999,-0.9803921568627533,-9.619686800894861,,,4.098671059086638,,,7.128979591836739,4.932015714386575,-72.78038443968339,,,,,,,,,,,,,,,,,,,,,,
NASDAQ:CELC,1D,1507037400,2017-10-03,12.47,13.2006,12.13,12.82,32185.0,412611.7,5.775577557755785,-5.942773294203965,,,4.735288827681351,,,8.585404971932629,-44.64051379445216,-38.14528020420414,,,,,,,,,,,,,,,,,,,,,,
