symbol,timeframe,timestamp,formatted_date,open,high,low,close,volume_units,volume_usd,price_change_1h_pct,price_change_last_7_candles_pct,price_change_last_14_candles_pct,price_change_last_30_candles_pct,volatility_last_7_candles,volatility_last_14_candles,volatility_last_30_candles,candle_range_pct,volume_change_1h_pct,volume_change_last_7_candles_pct,volume_change_last_14_candles_pct,volume_change_last_30_candles_pct,volume_vs_30_candles_avg_pct,rsi,macd_line,macd_signal,macd_histogram,ema_20,ema_50,ema_100,ema_200,gap_ema_20_pct,gap_ema_50_pct,gap_ema_100_pct,gap_ema_200_pct,bb_mid,bb_upper,bb_lower,band_width_pct,gap_bb_mid_pct,gap_bb_upper_pct,gap_bb_lower_pct
NASDAQ:COST,1H,1715351400,2024-05-10_14:30,782.01,782.89,780.03,782.87,27738.0,21715248.06,0.08437631837997062,1.1211718053707682,2.1450099813420738,5.210321193387983,0.1456933178975645,0.35906706313679354,0.37077929826144856,0.3657242234754049,-37.03754807404464,-26.91197687319556,36.8214355255199,-37.448850299813614,1.2949525374359,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715355000,2024-05-10_15:30,782.88,784.4,782.0,782.0,35077.0,27430214.0,-0.1111295617407749,0.9709740729263483,2.199511219728955,4.458870989286954,0.17062098973364193,0.3559591948162718,0.3649187970926458,0.3065603923972994,26.317755727262927,-4.4910374684885905,35.68706491500502,6.107489218441403,27.640156920247925,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715358600,2024-05-10_16:30,782.01,784.29,780.58,782.72,15947.0,12482035.84,0.09207161125320043,0.7880504764357461,2.410048410310097,4.4601628186307325,0.16162347547458147,0.34868708468004556,0.3649126069272847,0.47441848569710393,-54.4953027344227,-19.090508887605296,21.197257291221888,-31.658411632053163,-41.39210013270206,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715362200,2024-05-10_17:30,782.88,784.57,782.72,784.12,23375.0,18328805.0,0.17886345053147706,0.6624216904590695,2.4063106067037077,4.70429569095595,0.14557967919673942,0.34867961746791704,0.3630292466510085,0.23630696913959007,46.8414706939345,-1.022836536639019,26.787474069475586,28.495978987562097,-14.483334884220875,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715365800,2024-05-10_18:30,784.12,785.4,783.78,784.87,34948.0,27429636.76,0.09564862521042697,0.7677592471337439,2.6436759061276045,4.432114535100333,0.13943161527859643,0.33911471271063326,0.36119382071807166,0.20660103045452285,49.653164840806596,107.10607211061102,79.74601320676193,35.35430717893066,26.5681009553889,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715369400,2024-05-10_19:30,785.0,787.45,785.0,786.89,51893.0,40834082.769999996,0.2573674621274838,0.986909650924017,3.1121419398799697,4.546481193617392,0.14460217713602339,0.3220111090914434,0.36175403226931896,0.3121019108280313,48.868478016257896,48.368214447931805,192.74528841701448,252.28769795976538,80.30994610371506,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715607000,2024-05-13_13:30,788.455,789.46,780.72,782.36,42990.0,33633656.4,-0.5756840219090309,0.019176435995445884,1.22003286196681,3.952910537994446,0.25820011625825495,0.22474381470950885,0.38365457026783256,1.1084969972921739,-17.63337359763107,-2.480622448892223,-29.79721843159601,180.44779567169005,43.93060941536234,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715610600,2024-05-13_14:30,782.47,782.62,780.54,780.75,18976.0,14815512.0,-0.20578761695383374,-0.27079847228786447,0.8473372169622373,3.219196192490749,0.26502183044883,0.23562986279569137,0.3817592015596289,0.26582488785513064,-55.95033788833022,-31.773692112269607,-50.13474031245081,-38.88459961469298,-35.734928098022614,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715614200,2024-05-13_15:30,780.54,780.73,778.7,779.97,15357.0,11977999.290000001,-0.09990393852064973,-0.2595907928388712,0.7088627207933076,1.9808582411547784,0.264610402717053,0.23922027153728578,0.33427156373737804,0.2600763573935958,-19.15230948481564,-56.332825948787715,-58.29393509685779,-65.42933998478182,-46.28240283873591,,,,,,,,,,,,,,,,,,,
NASDAQ:COST,1H,1715617800,2024-05-13_16:30,779.8,780.76,776.57,777.57,19081.0,14836813.170000002,-0.307704142467015,-0.6579619787407983,0.12490342518671482,1.2507080400799537,0.2736265314515314,0.24724100477274102,0.33443122251712404,0.5373172608361043,23.86720695823318,18.865330625424658,-3.826665881903455,-55.20289470371772,-31.591813979779932,,,,,,,,,,,,,,,,,,,
