symbol,timeframe,timestamp,formatted_date,open,high,low,close,volume_units,volume_usd,price_change_24h_pct,price_change_7d_pct,price_change_14d_pct,price_change_30d_pct,volatility_7d,volatility_14d,volatility_30d,intraday_range_pct,volume_change_24h_pct,volume_change_7d_pct,volume_change_14d_pct,volume_change_30d_pct,volume_vs_30d_avg_pct,rsi,macd_line,macd_signal,macd_histogram,ema_20,ema_50,ema_100,ema_200,gap_ema_20_pct,gap_ema_50_pct,gap_ema_100_pct,gap_ema_200_pct,bb_mid,bb_upper,bb_lower,band_width_pct,gap_bb_mid_pct,gap_bb_upper_pct,gap_bb_lower_pct
LSE:URNU,1D,1650610800,2022-04-22,13.536,13.536,13.536,13.536,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1650870000,2022-04-25,12.886,12.95,12.617,12.617,175.0,2207.9750000000004,-6.789302600472803,,,,,,,2.584199906875667,,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1650956400,2022-04-26,12.884,12.884,12.778,12.849,179.0,2299.971,1.8387889355631237,,,,,,,0.8227258615336842,4.166532682661698,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1651042800,2022-04-27,12.822,12.83,12.728,12.728,100.0,1272.8,-0.9417075258775036,,,,,,,0.7955077211043543,-44.660171802166204,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1651129200,2022-04-28,12.832,13.0,12.456,12.456,9000.0,112104.0,-2.1370207416719063,,,,,,,4.239401496259355,8707.668133249528,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1651215600,2022-04-29,12.912,12.912,12.912,12.912,0.0,0.0,3.6608863198458677,,,,,,,0.0,-100.0,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1651561200,2022-05-03,12.462,12.652,12.462,12.652,113.0,1429.676,-2.0136307311028623,,,,3.306507498298195,,,1.5246348900657962,,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1651647600,2022-05-04,12.632,12.632,12.327,12.327,964.0,11883.228,-2.5687638318052426,-8.93173758865248,,,3.1062070942032145,,,2.4145028499050007,731.1832890808827,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1651734000,2022-05-05,12.934,12.952,12.226,12.226,1286.0,15722.636,-0.8193396609069448,-3.0989934215740664,,,2.14782877079669,,,5.61311272614813,32.30947012040837,612.0839683420328,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1651820400,2022-05-06,12.116,12.116,11.886,11.966,75.0,897.4499999999999,-2.1266154097824437,-6.872130126858128,,,1.9932037923155832,,,1.8983162759986831,-94.29198767941965,-60.97994279058302,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652079600,2022-05-09,11.65,11.668,11.002,11.002,1869.0,20562.738,-8.056159117499572,-13.560653676932741,,,3.172980007302954,,,5.71673819742488,2191.2405147919108,1515.5513827781272,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652166000,2022-05-10,11.0,11.0,10.735,10.735,1237.0,13279.195,-2.4268314851845227,-13.816634553628774,,,3.1762737663103677,,,2.409090909090914,-35.4210757341751,-88.15457521587096,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652252400,2022-05-11,10.93,11.128,10.93,11.012,1782.0,19623.384000000002,2.580344666977187,-14.714993804213137,,,2.910079492258163,,,1.8115279048490431,47.77540355420643,,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652338800,2022-05-12,10.364,10.443,10.36,10.443,1085.0,11330.654999999999,-5.167090446785332,-17.45969016756244,,,3.084530264506463,,,0.8008490930142819,-42.259423756881084,692.5330634353518,,,,,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652425200,2022-05-13,10.59,10.993,10.59,10.993,100.0,1099.3,5.266685818251467,-10.821773343068058,-18.786938534278956,,4.150286196111718,3.6678600840336317,,3.805476864966954,-90.2980013070736,-90.74914661235147,,,,27.184640229678834,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652684400,2022-05-16,10.886,10.942,10.832,10.832,2727.0,29538.864,-1.4645683616847047,-11.40193031244888,-14.147578663707696,,4.1405090563932765,3.3525580335756344,,1.0104721660848743,2587.0612207768586,87.87475586154892,1237.8260170518236,,,26.36440303602268,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652770800,2022-05-17,11.295,11.295,11.295,11.295,100000.0,1129500.0,4.2743722304283525,-5.6075547384255335,-12.09432640672426,,4.609611441933316,3.5538920430030205,,0.0,3723.7760260516447,125756.5936820993,49009.31485657863,,,32.657241307220076,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652857200,2022-05-18,11.528,11.528,11.109,11.109,103326.0,1147848.534,-1.6467463479415665,0.9725504453735622,-12.719987429289754,,3.5821976708616594,3.559785283520595,,3.6346287300485813,1.624482868525895,5482.17749990298,90082.94578881207,,,31.492879978679596,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1652943600,2022-05-19,11.046,11.136,10.91,11.136,167.0,1859.7119999999998,0.2430461787739603,3.735444806707031,-10.597302504816957,,3.4204414416624647,3.553628244925038,,2.0459894984609734,-99.837982804794,-85.99529564856905,-98.3410832798116,,,31.872601825349975,,,,,,,,,,,,,,,,,,
LSE:URNU,1D,1653030000,2022-05-20,11.25,11.25,11.109,11.109,320.0,3554.88,-0.24245689655171737,0.8808572466400247,-13.963754646840155,,3.3263812015335366,3.3449385153936446,,1.2533333333333334,91.15217840181708,-81.88447007916677,,,,31.68347749657417,,,,,,,,,,,,11.79675,13.585307058077838,10.008192941922161,30.322878048239367,-5.829995549621713,-18.227832815934942,10.999059115525199
LSE:URNU,1D,1653289200,2022-05-23,11.426,11.426,11.34,11.371,463.0,5264.773,2.3584481051399804,8.886335344249744,-10.124881441669292,,2.549802207566786,3.439598515868938,,0.7526693506038884,48.0998796021244,-53.535139848490665,268.249379579709,,,35.67234674779306,,,,,,,,,,,,11.688500000000001,13.295770543499094,10.081229456500909,27.501741771811478,-2.7163451255507614,-14.47656258207766,12.793782237218892
LSE:URNU,1D,1653375600,2022-05-24,11.354,11.354,11.133,11.133,1559.0,17356.346999999998,-2.0930437076774364,1.273537705812779,-9.686055001216848,,2.167823699859026,3.4232770941481703,,1.9464505901004059,229.66942734283126,1478.8544528336213,46.0575106359989,,,33.74485736092612,,,,,,,,,,,,11.6143,13.179735926507401,10.048864073492599,26.957043067725156,-4.144029343137348,-15.529415292691548,10.788641567629409
LSE:URNU,1D,1653462000,2022-05-25,11.386,11.386,11.249,11.249,100201.0,1127161.049,1.0419473636935368,3.8497045790251088,-7.991166366759367,,2.067295764677997,3.4507618614153097,,1.2032320393465543,6394.229742007348,3715.8578102394185,7069.033545011156,,,35.57211548582643,,,,,,,,,,,,11.5343,12.999489967205609,10.069110032794391,25.405789119506316,-2.4734921061529476,-13.465835749107441,11.717917108491113
LSE:URNU,1D,1653548400,2022-05-26,11.372,11.66,11.372,11.574,824.0,9536.976,2.889145701840157,2.4701195219123497,-3.2759485208089543,,1.7434112848298748,3.526235317259137,,2.532536053464652,-99.15389411225121,-99.15564621513944,962.6749122513789,,,40.52149132819591,,,,,,,,,,,,11.476600000000001,12.836304291380962,10.11689570861904,23.69524582857224,0.8486834079779604,-9.833860764959791,14.402681744950543
LSE:URNU,1D,1653634800,2022-05-27,11.834,11.9,11.808,11.829,568.0,6718.872,2.203214100570251,6.481231433972461,7.516815124522813,,1.625509022883846,2.804274009881957,,0.7774209903667444,-29.54924076562634,-99.41465517435596,-67.32501284605192,,,44.146965682892485,,,,,,,,,,,,11.44525,12.740571099187397,10.149928900812602,22.6350861569192,3.3529193333479035,-7.154868428508178,16.54268828477185
LSE:URNU,1D,1653894000,2022-05-30,12.208,12.254,12.176,12.176,3327.0,40509.552,2.9334685941330587,9.339080459770125,13.423381462505828,,1.7356846965757249,2.7356535588770985,,0.6389252948885927,502.92191903640963,2078.2701837703908,205.06029921241463,,,48.72698781364222,,,,,,,,,,,,11.40845,12.569900726462368,10.246999273537632,20.36123621460177,6.7279078227103595,-3.1336820793908218,18.825030381761778
LSE:URNU,1D,1653980400,2022-05-31,12.24,12.318,11.993,11.993,1066.0,12784.538,-1.5029566360052549,7.957511927266184,8.908463494369776,,1.9396347702843137,2.762883317330271,,2.6552287581699288,-68.44068282957066,259.63346160770544,-34.850492657127845,,,46.55864743086159,,,,,,,,,,,,11.3755,12.426062420801314,10.324937579198687,18.470615283746877,5.428332820535358,-3.485113836836711,16.155665910871008
LSE:URNU,1D,1654066800,2022-06-01,12.0,12.0,11.613,11.613,32.0,371.616,-3.1685149670641275,2.1282209128484664,11.203677104280379,,2.3547382894890467,2.4975475489466046,,3.2250000000000036,-97.09323872321394,-92.94146205353964,-96.72026021443597,,,42.34483210410715,,,,,,,,,,,,11.3398,12.30353971589838,10.376060284101621,16.997472898964343,2.409213566376825,-5.612528848149926,11.921092226050757
LSE:URNU,1D,1654498800,2022-06-06,12.1,12.168,11.95,11.95,2105.0,25154.75,2.901920261775594,7.338543070151802,8.705539889020276,,2.267867477683631,2.2576740766034655,,1.801652892561983,6669.016942219926,44.93113095745322,2188.2516146638773,,,46.9319437607802,,,,,,,,,,,,11.326,12.245473327508748,10.406526672491253,16.23650587160069,5.509447289422557,-2.4129187954293663,14.831781785451847
LSE:URNU,1D,1654585200,2022-06-07,11.894,11.894,11.806,11.863,941.0,11163.082999999999,-0.7280334728033452,5.458262956707253,9.518094534711953,,2.3509927277230207,2.2166148121763785,,0.7398688414326633,-55.622365557200936,-99.00962839250843,-62.20882766513973,,-91.14518103623807,45.91629866074464,,,,,,,,,,,,11.32085,12.226984046375028,10.414715953624972,16.008233416660904,4.788951359659385,-2.976891480306953,13.906131024830632
